Plugin,Script Name
179060,RHEL 8 : samba (RHSA-2023:4328)
185663,RHEL 8 : samba (RHSA-2023:7139)
186049,RHEL 8 : samba (RHSA-2023:7408)
186194,RHEL 8 : samba (RHSA-2023:7467)
189578,RHEL 8 : samba (RHSA-2024:0423)
185670,RHEL 8 : shadow-utils (RHSA-2023:7112)
166492,RHEL 8 : sqlite (RHSA-2022:7108)
169966,RHEL 8 : sqlite (RHSA-2023:0110)
177661,RHEL 8 : sqlite (RHSA-2023:3840)
188057,RHEL 8 : sqlite (RHSA-2024:0253)
242958,RHEL 8 : sqlite (RHSA-2025:12010)
197780,RHEL 8 : squashfs-tools (RHSA-2024:3139)
193507,RHEL 8 : sssd (RHSA-2024:1921)
197792,RHEL 8 : sssd (RHSA-2024:3270)
272265,RHEL 8 : sssd (RHSA-2025:19610)
180030,RHEL 8 : subscription-manager (RHSA-2023:4706)
170278,RHEL 8 : sudo (RHSA-2023:0284)
241145,RHEL 8 : sudo (RHSA-2025:10110)
164498,RHEL 8 : systemd (RHSA-2022:6206)
169965,RHEL 8 : systemd (RHSA-2023:0100)
171721,RHEL 8 : systemd (RHSA-2023:0837)
177664,RHEL 8 : systemd (RHSA-2023:3837)
197783,RHEL 8 : systemd (RHSA-2024:3203)
171720,RHEL 8 : tar (RHSA-2023:0842)
190400,RHEL 8 : tcpdump (RHSA-2024:0769)
185707,RHEL 8 : tpm2-tss (RHSA-2023:7166)
213156,RHEL 8 : tuned (RHSA-2024:11161)
167084,RHEL 8 : unbound (RHSA-2022:7622)
175834,RHEL 8 : unbound (RHSA-2023:2771)
190971,RHEL 8 : unbound (RHSA-2024:0965)
193199,RHEL 8 : unbound (RHSA-2024:1751)
214827,RHEL 8 : unbound (RHSA-2025:0837)
242890,RHEL 8 : unbound (RHSA-2025:11884)
169973,RHEL 8 : usbguard (RHSA-2023:0087)
297811,RHEL 8 : util-linux (RHSA-2026:1852)
162643,RHEL 8 : vim (RHSA-2022:5319)
163795,RHEL 8 : vim (RHSA-2022:5813)
269945,RHEL 8 : vim (RHSA-2025:17715)
175825,RHEL 8 : wayland (RHSA-2023:2786)
167169,RHEL 8 : webkit2gtk3 (RHSA-2022:7704)
205518,RHEL 8 : wget (RHSA-2024:5299)
162158,RHEL 8 : xz (RHSA-2022:4991)
166464,RHEL 8 : zlib (RHSA-2022:7106)
