uic,unit,mcn,maint_act_sts,maint_act_dttm
00246,AIMD NAS NORTH ISLAN,P9A0QF4,IW,2023-04-27 09:30:59
00246,AIMD NAS NORTH ISLAN,P9A0W0M,A1,2023-05-02 14:03:00
00246,AIMD NAS NORTH ISLAN,P9A02RF,M8,2022-09-19 08:17:59
00246,AIMD NAS NORTH ISLAN,P9AZJF6,M3,2022-10-05 15:27:59
00246,AIMD NAS NORTH ISLAN,P9AZJF6,IW,2023-05-03 06:30:59
00246,AIMD NAS NORTH ISLAN,P9A0W0M,M3,2023-05-02 14:07:41.503000
00246,AIMD NAS NORTH ISLAN,P9A0QAX,M3,2023-04-27 11:36:59
00246,AIMD NAS NORTH ISLAN,P9AZJF6,WS,2023-05-03 07:00:59
00246,AIMD NAS NORTH ISLAN,P9A0QAX,IW,2023-05-03 09:00:59
00246,AIMD NAS NORTH ISLAN,P9A018U,WP,2023-04-12 07:14:59
00246,AIMD NAS NORTH ISLAN,P9A018U,IW,2023-05-03 09:15:59
00246,AIMD NAS NORTH ISLAN,P9A0RF2,WP,2023-04-12 07:14:59
00246,AIMD NAS NORTH ISLAN,P9A0RF2,IW,2023-05-03 09:30:59
00246,AIMD NAS NORTH ISLAN,P9A0QAX,WS,2023-05-03 09:15:59
00246,AIMD NAS NORTH ISLAN,P9A018U,WS,2023-05-03 09:30:59
00246,AIMD NAS NORTH ISLAN,P9A0RF2,WS,2023-05-03 09:45:59
00246,AIMD NAS NORTH ISLAN,P9A0W0M,IW,2023-05-03 09:00:59
00246,AIMD NAS NORTH ISLAN,P9A0VFE,WP,2023-04-28 00:01:55
00246,AIMD NAS NORTH ISLAN,P9A02RF,IW,2023-05-03 06:00:59
00246,AIMD NAS NORTH ISLAN,P9A0JV7,WP,2023-01-25 13:55:59
00246,AIMD NAS NORTH ISLAN,P9A0JV7,M6,2023-05-05 11:07:59
00246,AIMD NAS NORTH ISLAN,P9A0QAX,WP,2023-05-03 10:15:59
00246,AIMD NAS NORTH ISLAN,P9A0WV1,A1,2023-05-09 08:13:00
00246,AIMD NAS NORTH ISLAN,P9A0QAX,M6,2023-05-09 08:30:59
00246,AIMD NAS NORTH ISLAN,P9A0WV1,M3,2023-05-09 09:20:05.683000
00246,AIMD NAS NORTH ISLAN,P9A0WV1,IW,2023-05-09 09:30:59
00246,AIMD NAS NORTH ISLAN,P9A0WV1,WS,2023-05-09 09:45:59
00246,AIMD NAS NORTH ISLAN,P9A0QAX,M3,2023-05-09 09:23:59
00246,AIMD NAS NORTH ISLAN,P9A0QAX,IW,2023-05-10 06:30:59
00246,AIMD NAS NORTH ISLAN,P9A0QAX,WS,2023-05-10 08:00:59
00246,AIMD NAS NORTH ISLAN,P9A0X7Z,A1,2023-05-11 10:41:59
00246,AIMD NAS NORTH ISLAN,P9A0VFT,M3,2023-04-28 00:01:55
00246,AIMD NAS NORTH ISLAN,P9A0VFT,IW,2023-05-11 12:30:59
00246,AIMD NAS NORTH ISLAN,P9A0QAX,WP,2023-05-10 08:33:59
00246,AIMD NAS NORTH ISLAN,P9A0QAX,IW,2023-05-16 09:00:59
00246,AIMD NAS NORTH ISLAN,P9A0QAX,WS,2023-05-16 09:15:59
00246,AIMD NAS NORTH ISLAN,P9A018U,WP,2023-05-03 10:15:59
00246,AIMD NAS NORTH ISLAN,P9A018U,IW,2023-05-16 12:00:59
00246,AIMD NAS NORTH ISLAN,P9A018U,WS,2023-05-16 12:15:59
00246,AIMD NAS NORTH ISLAN,P9AZJF6,WP,2023-05-03 09:41:59
00246,AIMD NAS NORTH ISLAN,P9A0Y3D,A1,2023-05-19 09:37:00
00246,AIMD NAS NORTH ISLAN,P9A0Y3D,M3,2023-05-19 10:11:35.256000
00246,AIMD NAS NORTH ISLAN,P9A0Y3D,IW,2023-05-22 08:00:59
00246,AIMD NAS NORTH ISLAN,P9AZJF6,M6,2023-05-18 09:23:59
