uic,unit,mcn,act_take_cd,ref_loc_use,ddsn,awp_fg,ref_symb,fail_part_fg,fail_cage,fail_part_no,mal_dscrptn_cd,ty_itm_ind,matl_index,repl_reqd_fg,ovrd_cgpn_fg,ti_crit_fg,ti_maf_fg,proj_cd,scnd_adv_cd,cannib_fg,actl_rcpt_dttm,fail_qty,xref_ind,iss_pri_dsg,ord_dttm,ti_mcn,reqd_cage,reqd_part_no,ovrd_reqd_cgpn_fg,end_itm_rep_fg,reord_xref_ind,ord_otcpn_fg
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B70A,N,ORING,N,07482,J221P154,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:42:01.633000,1,24,03,2025-02-21 10:30:54.093000, ,07482,J221P154,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B706,N,BOLT,N,07482,J643P14A,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:48:32.403000,1,25,03,2025-02-21 10:30:45.236000, ,07482,J643P14A,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B70F,N,BOLT,N,07482,J643P12A,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:42:31.426000,1,26,03,2025-02-21 10:31:05.953000, ,07482,J643P12A,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B712,N,SEAL,N,99207,3036T04P01,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:43:11.700000,1,27,03,2025-02-21 10:31:55.736000, ,99207,3036T04P01,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B705,N,ORING,N,99207,3031T78P01,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:48:18.386000,1,28,03,2025-02-21 10:30:43.333000, ,99207,3031T78P01,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B704,N,ORING,N,81343,AS3208-14,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:58:18.923000,1,29,03,2025-02-21 10:30:41.256000, ,81343,AS3208-14,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B701,N,ORING,N,81343,AS3209-113,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:30:00,1,30,03,2025-02-21 10:30:25.883000, ,81343,AS3209-113,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B703,N,PACKING,N,81343,AS3209-018,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:58:14.740000,1,31,03,2025-02-21 10:30:39.280000, ,81343,AS3209-018,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B70E,N,PACKING,N,07482,9169M40P138,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:42:20.010000,1,32,03,2025-02-21 10:31:03.560000, ,07482,9169M40P138,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B70V,N,PACKING,N,07482,9169M40P140,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:50:12.953000,1,33,03,2025-02-21 10:31:37.583000, ,07482,9169M40P140,N,N,0,N
